"parameter_id","parameter_name","parameter_description","procedure_id"
"IMPC_GRS_001_001","Forelimb grip strength measurement","forelimb_grip_strength_measurement",17
"IMPC_GRS_002_001","Forelimb and hindlimb grip strength measurement","forelimb_and_hindlimb_grip_strength_measurement",17
"IMPC_GRS_003_001","Body weight","body_weight",17
"IMPC_GRS_004_001","General comments about the mouse","general_comments_about_the_mouse",17
"IMPC_GRS_005_001","Equipment ID","equipment_name",17
"IMPC_GRS_006_001","Equipment manufacturer","equipment_manufacturer",17
"IMPC_GRS_007_001","Grid model","grid_model",17
"IMPC_GRS_008_001","Forelimb grip strength measurement mean","forelimb_grip_strength_measurement_mean",17
"IMPC_GRS_009_001","Forelimb and hindlimb grip strength measurement mean","forelimb_and_hindlimb_grip_strength_measurement_mean",17
"IMPC_GRS_010_001","Forelimb grip strength normalised against body weight","forelimb_grip_strength_normalised_against_body_weight",17
"IMPC_GRS_011_001","Forelimb and hindlimb grip strength normalised against body weight","forelimb_and_hindlimb_grip_strength_normalised_against_body_weight",17
"IMPC_GRS_012_001","Experimenter ID","experimenter_id",17
"IMPC_GRS_013_001","Equipment model","equipment_model",17
"IMPC_GRS_014_001","Date equipment last calibrated","date_equipment_last_calibrated",17
"IMPC_ALZ_001_001","Adrenal gland","adrenal",2
"IMPC_ALZ_002_001","Lower Urinary Tract","lower_urinary_tract",2
"IMPC_ALZ_003_001","Brain","brain",2
"IMPC_ALZ_004_001","Eye","eye",2
"IMPC_ALZ_005_001","Heart","heart",2
"IMPC_ALZ_006_001","Kidney","kidney",2
"IMPC_ALZ_007_001","Liver","liver",2
"IMPC_ALZ_008_001","Lymph Node","lymph_node",2
"IMPC_ALZ_009_001","Mammary gland","mammary_gland",2
"IMPC_ALZ_010_001","Ovary","ovary",2
"IMPC_ALZ_011_001","Oviduct","oviduct",2
"IMPC_ALZ_012_001","Skin","skin_with_mg",2
"IMPC_ALZ_013_001","Stomach","stomach",2
"IMPC_ALZ_014_001","Testis","testis_epididymus",2
"IMPC_ALZ_015_001","Thymus","thymus",2
"IMPC_ALZ_016_001","Trachea","trachea",2
"IMPC_ALZ_017_001","Uterus","uterus",2
"IMPC_ALZ_018_001","Large Intestine","large_intestine",2
"IMPC_ALZ_019_001","Esophagus","esophagus",2
"IMPC_ALZ_020_001","Spinal cord","spinal_cord",2
"IMPC_ALZ_021_001","Thyroid gland","thyroid",2
"IMPC_ALZ_022_001","Pituitary gland","pituitary",2
"IMPC_ALZ_023_001","Skeletal Muscle","skeletal_muscle",2
"IMPC_ALZ_024_001","Small Intestine","small_intestine",2
"IMPC_ALZ_025_001","White Adipose Tissue","white_adipose_tissue",2
"IMPC_ALZ_026_001","Lung","lungs",2
"IMPC_ALZ_027_001","Aorta","aorta",2
"IMPC_ALZ_028_001","Pancreas","pancreas",2
"IMPC_ALZ_029_001","Prostate gland","prostate",2
"IMPC_ALZ_030_001","Spleen","spleen",2
"IMPC_ALZ_031_001","Brainstem","brainstem",2
"IMPC_ALZ_032_001","Cartilage tissue","cartilage",2
"IMPC_ALZ_033_001","Cerebral Cortex","cerebral_cortex",2
"IMPC_ALZ_034_001","Cerebellum","cerebellum",2
"IMPC_ALZ_035_001","Hippocampus","hippocampus",2
"IMPC_ALZ_036_001","Hypothalamus","hypothalamus",2
"IMPC_ALZ_037_001","Olfactory Lobe","olfactory_lobe",2
"IMPC_ALZ_038_001","Peripheral Nervous System","peripheral_nervous_system",2
"IMPC_ALZ_039_001","Peyers Patch","peyers_patch",2
"IMPC_ALZ_040_001","Striatum","straiatum",2
"IMPC_ALZ_041_001","Vascular System","vascular_system",2
"IMPC_ALZ_042_001","Urinary bladder","urinary bladder",2
"IMPC_ALZ_043_001","Bone","bone",2
"IMPC_ALZ_044_001","Cecum","cecum",2
"IMPC_ALZ_045_001","Colon","colon",2
"IMPC_ALZ_046_001","Duodenum","duodenum",2
"IMPC_ALZ_047_001","Ileum","ileum",2
"IMPC_ALZ_048_001","Jejunum","jejunum",2
"IMPC_ALZ_049_001","Gonadal fat pad","adipose_gonad",2
"IMPC_ALZ_050_001","Bone  Marrow","bone_marrow",2
"IMPC_ALZ_051_001","Vas Deferens","vas_deferens",2
"IMPC_ALZ_052_001","Brown adipose tissue","adipose_brown",2
"IMPC_ALZ_053_001","Mesenteric adipose tissue","adipose_mesenteric",2
"IMPC_ALZ_054_001","Blood","blood_smear",2
"IMPC_ALZ_055_001","Diaphragm","diaphragm",2
"IMPC_ALZ_056_001","Gall Bladder","gall_bladder",2
"IMPC_ALZ_057_001","Harderian Gland","hardarian_gland",2
"IMPC_ALZ_058_001","Hindlimb","hind_limb",2
"IMPC_ALZ_059_001","Quadriceps","muscle_quad",2
"IMPC_ALZ_060_001","Parathyroid gland","parathyroid",2
"IMPC_ALZ_061_001","Parotid gland","parotid_gland",2
"IMPC_ALZ_062_001","Penis","penis",2
"IMPC_ALZ_063_001","Stomach pyloric region","pylorus",2
"IMPC_ALZ_064_001","Chest bone","ribcage",2
"IMPC_ALZ_065_001","Sciatic nerve","sciatic_nerve_quad",2
"IMPC_ALZ_066_001","Cranium","skull",2
"IMPC_ALZ_067_001","Sublingual Gland","sublingual_gland",2
"IMPC_ALZ_068_001","Submandibular Gland","submandibular_gland",2
"IMPC_ALZ_069_001","Tongue","tongue",2
"IMPC_ALZ_070_001","Trigeminal V nerve","trigeminal_nerve",2
"IMPC_ALZ_071_001","Vagina","vagina",2
"IMPC_ALZ_072_001","Vesicular Gland","vesicular_gland",2
"IMPC_ALZ_073_001","Mesenteric Lymph Node","mesenteric_lymph_node",2
"IMPC_ALZ_074_001","Oral epithelium","oral_epithelia",2
"IMPC_ALZ_075_001","LacZ Images Section","lacz_images_section",2
"IMPC_ALZ_076_001","LacZ Images Wholemount","lacz_images_wholemount",2
