"parameter_id","group_id"
"IMPC_GRS_003_001",1
"IMPC_GRS_010_001",1
"IMPC_GRS_011_001",1
"IMPC_GRS_014_001",4
"IMPC_ALZ_003_001",2
"IMPC_ALZ_004_001",5
"IMPC_ALZ_005_001",4
"IMPC_ALZ_020_001",2
"IMPC_ALZ_022_001",2
"IMPC_ALZ_023_001",1
"IMPC_ALZ_025_001",1
"IMPC_ALZ_027_001",4
"IMPC_ALZ_031_001",2
"IMPC_ALZ_033_001",2
"IMPC_ALZ_034_001",2
"IMPC_ALZ_035_001",2
"IMPC_ALZ_036_001",2
"IMPC_ALZ_037_001",2
"IMPC_ALZ_039_001",5
"IMPC_ALZ_040_001",2
"IMPC_ALZ_041_001",4
"IMPC_ALZ_043_001",1
"IMPC_ALZ_049_001",1
"IMPC_ALZ_050_001",1
"IMPC_ALZ_052_001",1
"IMPC_ALZ_053_001",1
"IMPC_ALZ_054_001",4
"IMPC_ALZ_055_001",4
"IMPC_ALZ_064_001",1
"IMPC_ALZ_065_001",2
"IMPC_ALZ_070_001",2
"IMPC_ALZ_075_001",3
"IMPC_ALZ_076_001",3
"IMPC_ALZ_080_001",3
"IMPC_ALZ_081_001",3
"IMPC_ALZ_082_001",3
"IMPC_ALZ_083_001",3
"IMPC_ALZ_083_001",4
"IMPC_ALZ_093_001",3
"IMPC_ALZ_094_001",5
"IMPC_ALZ_097_001",3
"IMPC_ALZ_098_001",3
"IMPC_ALZ_099_001",3
"IMPC_ALZ_104_001",2
"IMPC_ALZ_105_001",2
"IMPC_GEO_003_001",4
"IMPC_GEO_004_001",4
"IMPC_GEO_005_001",4
"IMPC_GEO_008_001",4
"IMPC_GEO_011_001",4
"IMPC_GEO_012_001",4
"IMPC_GEO_016_001",1
"IMPC_GEO_019_001",1
"IMPC_GEO_030_001",5
"IMPC_GEO_037_001",1
"IMPC_GEO_040_001",2
"IMPC_GEO_044_001",5
"IMPC_GEO_045_001",5
"IMPC_GEO_046_001",1
"IMPC_GEO_046_001",5
"IMPC_GEO_049_001",3
"IMPC_GEO_050_001",3
"IMPC_GEO_060_001",4
"IMPC_GEO_007_002",4
"IMPC_GEO_041_002",2
"IMPC_GEO_042_002",2
"IMPC_EVP_016_001",1
"IMPC_HOU_038_001",1
"IMPC_HOU_043_002",1
"IMPC_HOU_043_002",4
"IMPC_HOU_044_002",1
"IMPC_HOU_045_002",1
