"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name"
"0006ejmqkf6t05x","MGI:1921263","Rftn2","C57BL","Early adult","IMPC_CSD_024_001","0.7546106","Vibrissae - appearance"
"000pd5km9vkhy0m","MGI:2679420","Pak6","C57BL","Early adult","JAX_OFD_017_001","0.2953247","Center average speed"
"00152gb042cv4om","MGI:2444631","Bltp1","C57BL","Early adult","IMPC_XRY_016_001","0.2686382","Number of pelvic vertebrae"
"001do1s5l848u8a","MGI:1916413","Mrpl44","C57BL","E9.5","IMPC_CBC_014_001","0.8637466","Alkaline phosphatase"
"001rv0ok4b8uy6x","MGI:1920199","Ccnt2","C57BL","E12.5","IMPC_CSD_013_001","0.977817","Coat - hair distribution - abdomen"
"0034yrl724hagpm","MGI:2140050","Ints3","C57BL","E9.5","IMPC_GEO_019_001","0.5993076","Embryo Size"
"003f878t6bp36em","MGI:1913420","Chchd5","C57BL","Early adult","IMPC_ACS_037_001","0.6837732","% Pre-pulse inhibition - Global"
"003r8i8i5c800rm","MGI:1924467","Rspo4","C57BL","Early adult","IMPC_IPG_010_001","1.271505e-05","Fasted blood glucose concentration"
"003y65o66ffzp7a","MGI:1924232","Vxn","C57BL","Early adult","IMPC_HEM_019_001","0.4749299","Mean platelet volume"
"004gd232v456sla","MGI:98386","Sptan1","C57BL","Early adult","IMPC_EYE_012_001","0.9217141","Pupil Shape"
"005k1zy63sv824a","MGI:1915862","Ube2c","C57BL","E18.5","IMPC_OFD_021_001","0.6148917","Number of rears - total"
"00601o4547t4h3x","MGI:1922776","Eppin","C57BL","Middle aged adult","IMPC_CBC_016_001","0.6056912","HDL-cholesterol"
"006197j1j21991m","MGI:2684896","Maneal","C57BL","Early adult","IMPC_EYE_027_001","0.2976817","Persistence of hyaloid vascular system"
"006n7w96bpx62nx","MGI:1918398","Mier1","129SV","Early adult","IMPC_CSD_025_001","0.2751707","Head size"
"00776w389yp711x","MGI:98960","Wnt6","C57BL","E15.5","IMPC_CSD_023_001","0.09547829","Vibrissae - presence"
"0091deh9t83339x","MGI:3611450","Mettl21c","C57BL","Early adult","MGP_IMM_004_001","0.7571238","Total CD4+ T cells - % of ab T cells"
"0091w838456o5cx","MGI:2387617","Obp2a","C57BL","Early adult","IMPC_HEM_030_001","0.3816427","Neutrophil cell count"
"009w41n9c42iuda","MGI:1913721","Anp32e","C57BL","Early adult","IMPC_OFD_050_001","0.4944902","Percentage center movement time"
"00gc404c8wspagm","MGI:1917770","Glipr2","C57BL","Early adult","IMPC_EYE_026_001","0.1241104","Retinal Blood Vessels Pattern"
"00o46k0a34wqk9x","MGI:1919051","Plekhf2","C57BL","Early adult","MGP_IMM_108_001","0.2976805","Marginal zone B cells - % of CD45+"
"00swp4930bq3hta","MGI:1914199","Trim59","C57BL","Early adult","IMPC_CSD_041_002","0.3212645","Hindpaw - size"
"00ua48g0re4k03a","MGI:1927580","Bloc1s6","C59BL","Early adult","IMPC_CBC_003_001","0.9700992","Chloride"
"00w34i52gq6t9sa","MGI:1915282","Emc4","C57BL","Early adult","IMPC_HEM_006_001","0.9394754","Mean corpuscular hemoglobin"
"00wn0ae6km4l59a","MGI:1924955","Cstdc2","C57BL","Early adult","IMPC_EYE_017_001","0.5112005","Lens Opacity"
"00z341lw4tmt6na","MGI:97383","Ntrk1","C57BL","Early adult","IMPC_GRS_010_001","0.2943943","Forelimb grip strength normalised against body weight"
"00z890hx393ilox","MGI:1927753","Inpp5e","C57BL","E15.5","IMPC_CSD_078_001","0.2390857","Vocalization"
"00zzl5n354nxqlx","MGI:1337072","Ier5","C57BL","Early adult","M-G-P_026_001_003","0.9278199","Coat intact"
"0101197v0wg94cm","MGI:1919880","Hspa12b","C57BL","Early adult","IMPC_CSD_038_001","0.8866748","Trunk curl"
"0104o7s3a87j8xm","MGI:1916428","Snx5","C57BL","Early adult","IMPC_XRY_022_001","0.8230056","Radius"
"010pfthu785n00m","MGI:2138198","D630023F18Rik","C57BL","Early adult","MGP_MLN_080_001","0.1583881","Effector gd cells - % of CD45+"
"01154eyw6fr4ksa","MGI:1349164","Sdc4","C57BL","Early adult","IMPC_ABR_010_001","0.4488389","24kHz-evoked ABR Threshold"
"0119w207801674a","MGI:2442704","Frrs1l","C57BL","Early adult","IMPC_HEM_019_001","0.2394178","Mean platelet volume"
"012nj01avmd1lta","MGI:107171","Ppp3r2","C57BL","Early adult","ESLIM_008_001_007","0.4180805","Transfer arousal"
"0148j10rn67205m","MGI:2444631","Bltp1","C57BL","E12.5","IMPC_GEL_058_001","0.9944418","Heart morphology"
"015r27o89nu19om","MGI:104899","Mob4","C57BL","Early adult","IMPC_GEP_011_002","0.7364502","Hemorrhage"
"017con0zw292b4x","MGI:1914199","Trim59","C57BL","Early adult","IMPC_HEM_001_001","0.3669798","White blood cell count"
"017ij28ay0424pa","MGI:1346069","Cdh20","C57BL","Early adult","JAX_OFD_009_001","0.08096606","Whole arena average speed"
"01b921qek008jta","MGI:1917770","Glipr2","C57BL","Early adult","IMPC_GEM_069_001","0.2369657","Hindbrain morphology"
"01f54429u7lju0m","MGI:104294","Tyro3","C57BL","Early adult","IMPC_OFD_050_001","0.08298324","Percentage center movement time"
"01fj2o71qs42e5m","MGI:1350930","Srp9","C57BL","Early adult","IMPC_CSD_030_001","0.6145621","Tremor"
"01ge61dn8hi19ga","MGI:2444631","Bltp1","C57BL","Early adult","IMPC_OFD_018_001","0.1009468","Latency to center entry"
"01i07bze1ka0h7m","MGI:1914210","Mindy3","C57BL","Early adult","IMPC_GEO_043_002","0.8417374","spina bifida"
"01ie1b51678c33m","MGI:1096385","Bcan","C57BL","Middle aged adult","IMPC_XRY_027_001","0.7977132","Joints"
"01m3xi97s2n51dm","MGI:1337072","Ier5","C57BL","Late adult","IMPC_EYE_017_001","0.1750285","Lens Opacity"
"01mu1hc5jp1385a","MGI:2140050","Ints3","C57BL","E9.5","IMPC_IMM_040_002","0.7013873","Effector CD4+ NKT cells - % of live leukocytes (Panel A)"
"01o8ma93k2jh04a","MGI:1919300","Poglut2","C57BL","Early adult","IMPC_ECH_012_001","0.3644325","LVPWs"
"01r6zq38j237c3x","MGI:1913746","Ppdpf","C57BL","Early adult","KMPCLA_GRS_010_001","0.3783162","Forelimb grip strength normalised against body weight"
"01u86p9b1p7222m","MGI:104899","Mob4","C57BL","E9.5","IMPC_EYE_063_001","0.3873563","Right inner nuclear layer"
"01u8anlu2l5336x","MGI:2685869","Dpy19l4","C57BL","Early adult","IMPC_CBC_017_001","0.6230316","Triglycerides"
"01u93w36bfs6i8x","MGI:2443564","Ambra1","C57BL","E9.5","IMPC_DXA_009_001","0.6530873","Fat/Body weight"
"01uyr330u5w680m","MGI:104793","Runx1t1","C57BL","Early adult","IMPC_GEP_034_001","0.1239294","Skin Appearance"
"01v9ewe28297m0m","MGI:1931071","Sec61a2","C57BL","Early adult","MGP_IMM_127_001","0.2049603","Plasmacytoid DC - % of CD45+"
"01w2u3pbz77f0cx","MGI:1921520","Usp20","C57BL","Early adult","IMPC_DXA_004_001","0.6273834","Bone Mineral Density (excluding skull)"
"01w6y063oouz3cm","MGI:2443100","Bend7","C57BL","Early adult","IMPC_GEM_025_002","0.09748086","Pallor"
"01wp726oud68fxm","MGI:1916022","Smpdl3b","C57BL","Early adult","M-G-P_012_001_005","0.0785232","Body Weight"
"01xz3gu16937b0x","MGI:2684789","Lrsam1","C57BL","Early adult","ESLIM_015_001_011","0.3689669","Iron"
"01y1t29rne9942m","MGI:2444508","Fitm2","C57BL","E15.5","IMPC_IMM_004_002","0.6510462","NKT cells (panel A) - % of live leukocytes (Panel A)"
"020b5moy7na7pya","MGI:2444508","Fitm2","C57BL","E12.5","IMPC_OFD_011_001","0.4212592","Periphery resting time"
"0210uj52sfnyq1m","MGI:1914210","Mindy3","C57BL","Early adult","IMPC_IMM_014_002","0.9821411","Treg cells - % of live leukocytes (Panel A)"
"0218e8u318770dx","MGI:2443564","Ambra1","C57BL","E12.5","IMPC_CBC_002_001","0.07443484","Potassium"
"021m263ud9l732x","MGI:2139461","Tmem62","C57BL","Early adult","MGP_PBI_005_001","0.4668118","Gamma delta T cell percentage"
"021r02vbxk91w0m","MGI:95975","Ifi44l","C57BL","Early adult","IMPC_HEM_032_001","0.318936","Lymphocyte cell count"
"022gc237ebj202a","MGI:1890510","Atp6v0b","C57BL","Early adult","IMPC_DXA_009_001","1.34313e-09","Fat/Body weight"
"0232g8k88d03a3a","MGI:1915282","Emc4","C57BL","Early adult","IMPC_ACS_006_001","0.5399675","Response amplitude - S"
"023bk9d0i7s0i2x","MGI:2140050","Ints3","C57BL","E9.5","IMPC_IMM_011_002","0.3644017","CD4+ NKT cells - % of live leukocytes (Panel A)"
"0245108s7uz1l8m","MGI:98386","Sptan1","C57BL","E15.5","MGP_MLN_080_001","0.2250577","Effector gd cells - % of CD45+"
"024a218si76x63x","MGI:107341","Ctss","C57BL","Early adult","IMPC_EYE_063_001","0.05792599","Right inner nuclear layer"
"024u1z73e2l45wa","MGI:2444631","Bltp1","C57BL","Early adult","ESLIM_011_001_005","0.401883","PP4 startle magnitude"
"02575h9x58qh36a","MGI:1309469","Casq2","C57BL","E12.5","MGP_IMM_130_001","0.9421668","CD11b-low cDC - % of CD45+"
