"parameter_id","cluster"
"IMPC_CBC_058_001",5
"IMPC_FEA_003_001",1
"MGP_IMM_016_001",5
"IMPC_IMM_040_002",6
"IMPC_CSD_014_001",6
"JAX_OFD_014_001",1
"IMPC_HEM_037_001",2
"IMPC_CSD_007_001",3
"IMPC_EYE_070_001",1
"IMPC_CSD_005_001",3
"IMPC_EYE_092_001",1
"IMPC_EYE_023_001",5
"MGP_IMM_012_001",2
"IMPC_IMM_028_002",5
"IMPC_XRY_057_001",5
"MGP_MLN_012_001",3
"JAX_OFD_022_001",1
"IMPC_ABR_012_001",3
"IMPC_CBC_004_001",2
"IMPC_CSD_028_001",1
"IMPC_CSD_029_001",6
"MGP_MLN_014_001",2
"IMPC_DXA_007_001",4
"IMPC_CSD_015_001",4
"IMPC_OFD_050_001",2
"IMPC_HWT_008_001",2
"IMPC_OFD_009_001",4
"CCP_XRY_031_001",4
"MGP_IMM_013_001",5
"IMPC_DXA_002_001",3
"IMPC_GRS_008_001",1
"IMPC_EYE_026_001",3
"IMPC_EYE_065_001",6
"MGP_IMM_108_001",3
"MGP_IMM_093_001",5
"JAX_OFD_021_001",5
"IMPC_CSD_033_001",6
"MGP_MLN_066_001",4
"MGP_IMM_124_001",1
"IMPC_OFD_019_001",5
"ESLIM_005_001_004",2
"MGP_IMM_130_001",3
"MGP_MLN_115_001",5
"ESLIM_021_001_005",6
"IMPC_DXA_005_001",2
"IMPC_ABR_006_001",1
"IMPC_CSD_056_001",4
"MGP_MLN_003_001",6
"IMPC_OWT_002_001",1
"IMPC_CBC_017_001",3
"IMPC_HEM_005_001",4
"MGP_IMM_004_001",3
"IMPC_HEM_029_001",6
"IMPC_FEA_105_001",2
"MGP_MLN_079_001",1
"MGP_MLN_114_001",6
"IMPC_CSD_078_001",6
"IMPC_XRY_023_001",6
"MGP_IMM_040_001",5
"IMPC_IPG_010_001",3
"MGP_CSD_026_001",3
"IMPC_OFD_020_001",6
"MGP_IMM_076_001",1
"MGP_IMM_083_001",4
"IMPC_EYE_064_001",4
"IMPC_FEA_015_001",2
"IMPC_ACS_037_001",1
"MGP_IMM_086_001",2
"MGP_IMM_116_001",2
"IMPC_ABR_010_001",5
"MGP_MLN_076_001",4
"IMPC_XRY_063_001",4
"MGP_IMM_052_001",6
"MGP_MLN_022_001",2
"IMPC_DXA_004_001",5
"IMPC_HEM_002_001",3
"IMPC_CBC_014_001",5
"IMPC_OFD_007_001",6
"CCP_XRY_004_001",3
"JAX_OFD_012_001",5
"IMPC_DXA_009_001",2
"IMPC_EYE_016_001",2
"IMPC_OFD_011_001",5
"IMPC_CBC_012_001",1
"CCP_XRY_018_001",1
"MGP_MLN_018_001",1
"MGP_MLN_078_001",5
"IMPC_CBC_010_001",5
"CCP_XRY_003_001",3
"MGP_MLN_111_001",1
"MGP_IMM_079_001",6
"IMPC_HEM_019_001",6
"IMPC_ACS_006_001",3
"IMPC_DXA_010_001",5
"IMPC_CBC_001_001",6
"IMPC_CSD_025_001",2
"IMPC_XRY_027_001",5
"CCP_XRY_001_001",1
"IMPC_CSD_041_002",6
"MGP_MLN_011_001",1
"IMPC_EYE_092_002",5
"IMPC_CBC_008_001",4
"IMPC_ABR_008_001",3
"IMPC_DXA_006_001",5
"ESLIM_020_001_002",2
"IMPC_HEM_006_001",2
"MGP_IMM_127_001",6
"MGP_MLN_072_001",5
"IMPC_CBC_009_001",5
"MGP_IMM_126_001",1
"IMPC_CSD_040_002",5
"MGP_MLN_075_001",4
"IMPC_EYE_024_001",6
"MGP_IMM_044_001",1
"UCD_OWT_004_001",3
"MGP_IMM_075_001",2
"IMPC_EYE_082_001",5
"IMPC_EYE_012_001",5
"UCD_OWT_005_001",3
"IMPC_OFD_014_001",6
"IMPC_IMM_011_002",3
"MGP_IMM_007_001",5
"IMPC_CSD_026_001",3
"JAX_OFD_016_001",6
"IMPC_HEM_031_001",6
"MGP_MLN_015_001",4
"MGP_PBI_005_001",4
"IMPC_HEM_007_001",6
"MGP_CSD_027_001",4
"MGP_IMM_010_001",3
"ESLIM_005_001_701",4
"MGP_CSD_008_001",6
"IMPC_CSD_036_001",5
"CCP_XRY_005_001",4
"ESLIM_005_001_005",1
"IMPC_OFD_010_001",6
"CCP_XRY_062_001",6
"MGP_PBI_009_001",6
"IMPC_GRS_011_001",5
"IMPC_XRY_022_001",2
"IMPC_CSD_006_001",6
"ESLIM_021_001_002",6
"IMPC_ABR_004_001",4
"MGP_IMM_011_001",1
"IMPC_IMM_004_002",6
"IMPC_CSD_016_001",2
"IMPC_HEM_003_001",6
"IMPC_EYE_060_001",5
"MGP_IMM_128_001",4
"MGP_IMM_019_001",6
"MGP_IMM_077_001",5
"IMPC_XRY_006_001",6
"CCP_XRY_019_001",3
"MGP_IMM_073_001",4
"IMPC_ACS_035_001",5
"MGP_IMM_005_001",3
"IMPC_ACS_033_001",2
"IMPC_EYE_025_001",5
"MGP_PBI_015_001",4
"IMPC_CBC_018_001",5
"IMPC_CBC_023_001",2
"MGP_IMM_009_001",5
"CCP_XRY_002_001",1
"IMPC_CSD_030_001",5
"CCP_LDT_003_001",6
"MGP_MLN_080_001",4
"MGP_IMM_080_001",6
"CCP_XRY_061_001",1
"MGP_IMM_006_001",4
"IMPC_OFD_021_001",6
"IMPC_HEM_004_001",4
"IMPC_EYE_068_001",6
"IMPC_DXA_003_001",4
"IMPC_HWT_002_001",6
"IMPC_FEA_106_001",3
"IMPC_CBC_013_001",5
"IMPC_EYE_008_001",3
"IMPC_XRY_033_001",6
"IMPC_CSD_024_001",1
"IMPC_OFD_016_001",3
"IMPC_CSD_032_001",6
"IMPC_OFD_018_001",5
"IMPC_EYE_027_001",6
"JAX_LDT_005_001",5
"IMPC_CBC_007_001",2
"IMPC_OFD_012_001",3
"IMPC_EYE_087_001",5
"IMPC_IMM_014_002",5
"IMPC_OFD_022_001",5
"IMPC_CBC_015_001",3
"JAX_SLW_003_001",6
"IMPC_XRY_055_001",6
"IMPC_CBC_003_001",4
"JAX_LDT_003_001",6
"UCD_OWT_003_001",3
"IMPC_XRY_021_001",5
"IMPC_HEM_038_001",5
"IMPC_EYE_083_001",1
"IMPC_GRS_010_001",1
"IMPC_EYE_017_001",5
"IMPC_HEM_008_001",5
"IMPC_CBC_006_001",6
"JAX_OFD_009_001",6
"IMPC_ECG_004_001",4
"IMPC_ACS_034_001",2
"M.G.P_009_001_003",2
"CCP_LDT_007_001",5
"CCP_LDT_008_001",2
"ESLIM_020_001_004",3
"IMPC_CSD_061_001",1
"JAX_ROT_002_001",4
"IMPC_XRY_019_001",1
"IMPC_HEM_027_001",5
"IMPC_GRS_009_001",3
"M.G.P_025_001_002",4
"IMPC_ACS_036_001",3
"JAX_SLW_013_001",6
"IMPC_CSD_038_001",6
"MGP_CSD_068_001",5
"IMPC_DXA_008_001",6
"IMPC_ECH_013_001",5
"JAX_OFD_013_001",6
"CCP_LDT_004_001",1
"M.G.P_012_001_005",1
"IMPC_HEM_001_001",1
"IMPC_EYE_088_001",6
"IMPC_CBC_024_001",2
"IMPC_HEM_032_001",5
"IMPC_XRY_015_001",1
"IMPC_CBC_005_001",5
"IMPC_XRY_016_001",3
"CCP_XRY_020_001",5
"IMPC_CBC_002_001",4
"IMPC_CBC_020_001",2
"IMPC_CBC_016_001",6
"JAX_OFD_050_001",6
"IMPC_IMM_032_002",1
"JAX_OFD_007_001",6
"IMPC_HEM_030_001",3
"JAX_HBD_001_001",5
